id,logpred
14282777,3.912023005428147
17029381,4.174387269895637
7824740,4.204692619390967
19811650,5.393627546352364
12410741,4.382026634673881
19589738,4.90527477843843
15470255,4.543294782270004
6128434,4.605170185988092
18358465,5.298317366548036
8760362,4.290459441148391
11755946,5.1647859739235145
8327302,4.5217885770490405
13884363,5.66988092298052
6103273,4.605170185988092
18724232,3.80666248977032
19086978,4.941642422609304
6834210,4.248495242049359
9013556,5.988961416889862
11759260,4.852030263919617
8382187,3.737669618283368
1840445,4.852030263919617
15202859,4.605170185988092
18361399,4.543294782270004
17881079,5.010635294096256
16227150,4.867534450455582
9770459,4.007333185232471
4341518,4.787491742782046
10516580,4.0943445622221
16416474,4.07753744390572
5085892,5.575949103146316
13697587,4.248495242049359
12158766,4.0943445622221
5386312,4.700480365792417
17692345,4.59511985013459
16026765,5.298317366548036
18505615,5.049856007249537
2262885,4.867534450455582
16674812,4.8283137373023015
1628130,4.31748811353631
15379798,4.691347882229144
20173503,4.290459441148391
21173342,2.3978952727983707
10019796,4.07753744390572
13116069,4.48863636973214
16245464,4.787491742782046
2298801,4.605170185988092
884803,4.248495242049359
16480090,6.437751649736401
9855805,4.836281906951479
11407704,4.382026634673881
15572980,4.4998096703302615
8457785,4.3694478524670215
4115403,4.976733742420574
10138784,4.31748811353631
16592678,4.553876891600541
7194843,4.4067192472642525
20754111,4.8283137373023015
19808904,5.1929568508902095
16240085,5.272999558563747
16390897,4.795790545596741
15217021,4.4998096703302615
2899177,4.859812404361672
823880,5.991464547107983
17960485,5.3230099791384085
37197,4.787491742782046
17843177,4.852030263919617
20872950,5.521460917862246
12028495,4.0943445622221
14824136,4.653960350157523
5084563,4.248495242049359
9168809,4.605170185988092
16490010,3.912023005428147
752084,4.31748811353631
1391683,4.382026634673881
13862932,4.74493212836325
18969917,4.219507705176107
2536255,5.521460917862246
7401453,4.8283137373023015
8048838,5.416100402204419
17094930,4.248495242049359
1213652,5.1929568508902095
18650533,4.204692619390967
18428776,4.465908118654584
3497750,4.605170185988092
12784763,4.8283137373023015
10166945,4.31748811353631
17024368,5.010635294096256
10550345,4.90527477843843
12135309,4.248495242049359
